,date,day_estimate_bow,day_estimate_gcs
0,2020-01-28,0.5280761827854563,0.5014102059431212
1,2020-01-29,0.5308408849619642,0.5019225601802352
2,2020-01-30,0.534372057485668,0.5006750082714452
3,2020-01-31,0.5354477576102753,0.5014336688718313
4,2020-02-01,0.5148083588055973,0.5012040481794418
5,2020-02-02,0.5073608328823981,0.5058849396222678
6,2020-02-03,0.5475766754608518,0.5018112203921008
7,2020-02-04,0.5135735664448988,0.5010232103906889
8,2020-02-05,0.4908365964479773,0.4987096251063341
9,2020-02-06,0.4998816329107907,0.5006996292248724
10,2020-02-07,0.5264479178458967,0.5001829720324567
11,2020-02-08,0.52716142023096,0.5000079335170483
12,2020-02-09,0.5282490113590265,0.4998299445094539
13,2020-02-10,0.5264714115370096,0.4990051171097616
14,2020-02-11,0.5529025281288636,0.5040970710630632
15,2020-02-12,0.515307214452764,0.5000391889588379
16,2020-02-13,0.50547511445094,0.4998551748651426
17,2020-02-14,0.5281295866317783,0.5005388293107301
18,2020-02-15,0.509033070194159,0.4989016384021424
19,2020-02-16,0.5173360553365698,0.5004969918233304
20,2020-02-17,0.577712064429508,0.5034094002719554
21,2020-02-18,0.500680878546527,0.4998426670169846
22,2020-02-19,0.5032513932303583,0.4994030959806961
23,2020-02-20,0.5164471494428371,0.5008533320540537
24,2020-02-21,0.5511140895249484,0.4996537145380122
25,2020-02-22,0.5663882595072515,0.5010344230791208
26,2020-02-23,0.486664834090118,0.5010281904235923
27,2020-02-24,0.5301875981263898,0.5013021745798212
28,2020-02-25,0.5656886656637186,0.5045359719428758
29,2020-02-26,0.5252720138086262,0.5032678333149485
30,2020-02-27,0.4985153831242296,0.4997595992115035
31,2020-02-28,0.4974045099733805,0.5009552902557607
32,2020-02-29,0.5125126080845469,0.5003002785804594
33,2020-03-01,0.5490687208736397,0.5012712155687005
34,2020-03-02,0.5199660803166061,0.5008427260956262
35,2020-03-03,0.5155110633054134,0.5002108698417992
36,2020-03-04,0.5147672472874796,0.5003466478449946
37,2020-03-05,0.5233122706799623,0.5005623639094723
38,2020-03-06,0.5179033851403728,0.500374064058772
39,2020-03-07,0.5328244260141102,0.5011948131388129
40,2020-03-08,0.5157809014387886,0.5002528367118677
41,2020-03-09,0.5065833816715499,0.5005701168874421
42,2020-03-10,0.5081764686382666,0.5003416190308633
43,2020-03-11,0.5160343179946598,0.5002122865296486
44,2020-03-12,0.5244710765558156,0.5004125803514003
45,2020-03-13,0.5143266666280388,0.5002289676617508
46,2020-03-14,0.5183241698871228,0.5004202216176927
47,2020-03-15,0.5115695785586577,0.5002746330678929
48,2020-03-16,0.5129713024875028,0.5002493121275613
49,2020-03-17,0.5218614195048196,0.5004891111448058
50,2020-03-18,0.5271719266134604,0.5007717439765329
51,2020-03-19,0.5289287918937737,0.5006576091781252
52,2020-03-20,0.5219098133166812,0.5005064410185291
53,2020-03-21,0.5201120618444617,0.500614635374444
54,2020-03-22,0.5229152476162564,0.5012354067347011
55,2020-03-23,0.5187538680485185,0.5003299404848214
56,2020-03-24,0.5271736175446127,0.5008007050324133
57,2020-03-25,0.528326664404426,0.5010091966101915
58,2020-03-26,0.5391173266890439,0.5019126755994976
59,2020-03-27,0.5273364657094691,0.5009183519783045
60,2020-03-28,0.5316751536247198,0.501592323704281
61,2020-03-29,0.5352542226731727,0.5017202282189301
62,2020-03-30,0.5294677398438149,0.5010857952847526
63,2020-03-31,0.5417048936243916,0.5016149735395286
64,2020-04-01,0.5374344448360808,0.5015722423543418
65,2020-04-02,0.5331368981806411,0.5012043031707809
66,2020-04-03,0.530587608966602,0.5004546121103808
67,2020-04-04,0.5395095451739609,0.5011217980508788
68,2020-04-05,0.5345687891916283,0.5014371266487924
69,2020-04-06,0.5224656856402095,0.50051480542886
70,2020-04-07,0.5273495034300049,0.5008682576349724
71,2020-04-08,0.5371532151021213,0.5013258267918934
72,2020-04-09,0.5323522579132383,0.5011389216813911
73,2020-04-10,0.5313323854534728,0.5010294862933844
74,2020-04-11,0.5306394732898206,0.5008419161153758
75,2020-04-12,0.5345148600471166,0.5013680835311527
76,2020-04-13,0.5395368450360104,0.5011520298889327
77,2020-04-14,0.5250397698428806,0.5007564154919133
78,2020-04-15,0.5315773324132811,0.5010748231662223
79,2020-04-16,0.5243932515482157,0.5007507950920085
80,2020-04-17,0.5370130051762503,0.5008100860956621
81,2020-04-18,0.5312218502828239,0.5007607156146364
82,2020-04-19,0.5368882691460661,0.5013108518775846
83,2020-04-20,0.5319974848170955,0.5010568253169894
84,2020-04-21,0.5541609309236972,0.5037430168887055
85,2020-04-22,0.544045669580723,0.5016507493676419
86,2020-04-23,0.537265867531285,0.5012008514976063
87,2020-04-24,0.5727251442717727,0.5089603720096254
88,2020-04-25,0.5538909742602018,0.502264376514506
89,2020-04-26,0.5653779342646084,0.5029894608814087
90,2020-04-27,0.5602325969463021,0.5027186871215998
91,2020-04-28,0.5381022021603461,0.5014350615093157
92,2020-04-29,0.5232620453477662,0.5006163549763438
93,2020-04-30,0.52505943627902,0.5005350244581174
94,2020-05-01,0.5315075162248537,0.500684601790937
95,2020-05-02,0.5549632568057095,0.5024728746637427
96,2020-05-03,0.538863143603738,0.5015116665379055
97,2020-05-04,0.5265695272189015,0.5008353038380438
98,2020-05-05,0.5249735624765921,0.5006620708937533
99,2020-05-06,0.519772186740197,0.5004888443540001
100,2020-05-07,0.521525914666465,0.5005018468706206
101,2020-05-08,0.5271418709381431,0.5008459325311837
102,2020-05-09,0.5349107923062868,0.5010788105282908
