user_name,muslim_score,bins,muslim
"[anonymized]",-.67076898,4,0
"[anonymized]",-.6604321,4,0
"[anonymized]",-.67869985,4,0
"[anonymized]",-.63042086,4,0
"[anonymized]",-.68221337,4,0
"[anonymized]",-.65192586,4,0
"[anonymized]",-.67378354,4,0
"[anonymized]",-.62272495,4,0
"[anonymized]",-.64412785,4,0
"[anonymized]",-.6987772,4,0
"[anonymized]",-.60821939,4,0
"[anonymized]",-.64591545,4,0
"[anonymized]",-.67909616,4,0
"[anonymized]",-.67814189,4,0
"[anonymized]",-.63108855,4,0
"[anonymized]",-.60436052,4,0
"[anonymized]",-.62407923,4,0
"[anonymized]",-.60128331,4,0
"[anonymized]",-.65070671,4,0
"[anonymized]",-.60169882,4,0
"[anonymized]",-.66514021,4,0
"[anonymized]",-.58256054,5,0
"[anonymized]",-.5925948,5,0
"[anonymized]",-.56273663,5,0
"[anonymized]",-.54369676,5,0
"[anonymized]",-.55613261,5,0
"[anonymized]",-.55438107,5,0
"[anonymized]",-.53076184,5,0
"[anonymized]",-.55157959,5,0
"[anonymized]",-.50037909,5,0
"[anonymized]",-.58302134,5,0
"[anonymized]",-.5534994,5,0
"[anonymized]",-.59126264,5,0
"[anonymized]",-.59659582,5,0
"[anonymized]",-.50838596,5,0
"[anonymized]",-.55967546,5,0
"[anonymized]",-.56582099,5,0
"[anonymized]",-.57088363,5,0
"[anonymized]",-.55062616,5,0
"[anonymized]",-.56384063,5,0
"[anonymized]",-.51293766,5,0
"[anonymized]",-.56955391,5,0
"[anonymized]",-.50042737,5,0
"[anonymized]",-.58637708,5,0
"[anonymized]",-.55116123,5,0
"[anonymized]",-.51460373,5,0
"[anonymized]",-.55248314,5,0
"[anonymized]",-.50519341,5,0
"[anonymized]",-.53616142,5,0
"[anonymized]",-.5337624,5,0
"[anonymized]",-.50998938,5,0
"[anonymized]",-.58675373,5,0
"[anonymized]",-.56013852,5,0
"[anonymized]",-.57969213,5,0
"[anonymized]",-.57184798,5,0
"[anonymized]",-.51062691,5,0
"[anonymized]",-.55097395,5,0
"[anonymized]",-.50049561,5,0
"[anonymized]",-.51396775,5,0
"[anonymized]",-.59744239,5,0
"[anonymized]",-.53097773,5,0
"[anonymized]",-.52466244,5,0
"[anonymized]",-.59706432,5,0
"[anonymized]",-.51011306,5,0
"[anonymized]",-.57168323,5,0
"[anonymized]",-.53274322,5,0
"[anonymized]",-.53187448,5,0
"[anonymized]",-.54401416,5,0
"[anonymized]",-.52770686,5,0
"[anonymized]",-.56187516,5,0
"[anonymized]",-.46770367,6,0
"[anonymized]",-.40899155,6,0
"[anonymized]",-.47213146,6,0
"[anonymized]",-.40778115,6,0
"[anonymized]",-.48178187,6,0
"[anonymized]",-.4424313,6,0
"[anonymized]",-.40118328,6,0
"[anonymized]",-.47176549,6,0
"[anonymized]",-.41354483,6,0
"[anonymized]",-.46154234,6,0
"[anonymized]",-.46104506,6,0
"[anonymized]",-.41486013,6,0
"[anonymized]",-.49900556,6,0
"[anonymized]",-.4623698,6,0
"[anonymized]",-.46096644,6,0
"[anonymized]",-.41871029,6,0
"[anonymized]",-.44649017,6,0
"[anonymized]",-.48306718,6,0
"[anonymized]",-.48847207,6,0
"[anonymized]",-.44454286,6,0
"[anonymized]",-.45972592,6,0
"[anonymized]",-.444141,6,0
"[anonymized]",-.40828577,6,0
"[anonymized]",-.43950972,6,0
"[anonymized]",-.45836571,6,0
"[anonymized]",-.46310723,6,0
"[anonymized]",-.41051373,6,0
"[anonymized]",-.42638478,6,0
"[anonymized]",-.4424313,6,0
"[anonymized]",-.42665216,6,0
"[anonymized]",-.4644134,6,0
"[anonymized]",-.48327777,6,0
"[anonymized]",-.47409511,6,0
"[anonymized]",-.42618251,6,0
"[anonymized]",-.49264759,6,0
"[anonymized]",-.41809943,6,0
"[anonymized]",-.43574643,6,0
"[anonymized]",-.4398621,6,0
"[anonymized]",-.48963618,6,0
"[anonymized]",-.48610318,6,0
"[anonymized]",-.44407001,6,0
"[anonymized]",-.48933771,6,0
"[anonymized]",-.45661435,6,0
"[anonymized]",-.47451156,6,0
"[anonymized]",-.40930057,6,0
"[anonymized]",-.45081902,6,0
"[anonymized]",-.4615871,6,0
"[anonymized]",-.43039328,6,0
"[anonymized]",-.4115124,6,0
"[anonymized]",-.32428551,7,0
"[anonymized]",-.36284792,7,0
"[anonymized]",-.35547498,7,0
"[anonymized]",-.30195269,7,0
"[anonymized]",-.39391121,7,0
"[anonymized]",-.34693658,7,0
"[anonymized]",-.36767316,7,0
"[anonymized]",-.31394157,7,0
"[anonymized]",-.31676999,7,0
"[anonymized]",-.32797241,7,0
"[anonymized]",-.31384826,7,0
"[anonymized]",-.30615437,7,0
"[anonymized]",-.37415344,7,0
"[anonymized]",-.38491839,7,0
"[anonymized]",-.36030695,7,0
"[anonymized]",-.36427677,7,0
"[anonymized]",-.37415344,7,0
"[anonymized]",-.3575398,7,0
"[anonymized]",-.31911209,7,0
"[anonymized]",-.34783709,7,0
"[anonymized]",-.3948113,7,0
"[anonymized]",-.39556149,7,0
"[anonymized]",-.38414004,7,0
"[anonymized]",-.34346017,7,0
